ticker,company,lat,lon,lat_round,lon_round
MAA,Mid-America Apartment Communities,35.1460249,-90.0517638,35.15,-90.05
MRNA,Moderna,42.3656347,-71.1040018,42.37,-71.1
MHK,Mohawk Industries,31.5311784,-84.614328,31.53,-84.61
MOH,Molina Healthcare,33.7690164,-118.191604,33.77,-118.19
TAP,Molson Coors Beverage Company,41.8755616,-87.6244212,41.88,-87.62
MDLZ,Mondelez International,41.8755616,-87.6244212,41.88,-87.62
MPWR,Monolithic Power Systems,47.6765382,-122.2070775,47.68,-122.21
MNST,Monster Beverage,33.8752945,-117.566444,33.88,-117.57
MCO,Moody's Corporation,40.7127281,-74.0060152,40.71,-74.01
MS,Morgan Stanley,40.7127281,-74.0060152,40.71,-74.01
MOS,Mosaic Company (The),27.9449854,-82.4583107,27.94,-82.46
MSI,Motorola Solutions,41.8755616,-87.6244212,41.88,-87.62
MSCI,MSCI Inc.,40.7127281,-74.0060152,40.71,-74.01
NDAQ,"Nasdaq, Inc.",40.7127281,-74.0060152,40.71,-74.01
NTAP,NetApp,37.3361663,-121.890591,37.34,-121.89
NFLX,Netflix,37.226611,-121.9746797,37.23,-121.97
NEM,Newmont,39.7392364,-104.984862,39.74,-104.98
NWSA,News Corp (Class A),40.7127281,-74.0060152,40.71,-74.01
NWS,News Corp (Class B),40.7127281,-74.0060152,40.71,-74.01
NEE,NextEra Energy,26.8815475,-80.0539253,26.88,-80.05
NKE,"Nike, Inc.",45.5601883,-123.0587907,45.56,-123.06
NI,NiSource,41.4828144,-87.3328139,41.48,-87.33
NDSN,Nordson Corporation,41.4553232,-81.9179174,41.46,-81.92
NSC,Norfolk Southern,33.7544657,-84.3898151,33.75,-84.39
NTRS,Northern Trust,41.8755616,-87.6244212,41.88,-87.62
NOC,Northrop Grumman,38.8629185,-77.188257,38.86,-77.19
NCLH,Norwegian Cruise Line Holdings,25.7741566,-80.1935973,25.77,-80.19
NRG,NRG Energy,29.7589382,-95.3676974,29.76,-95.37
NUE,Nucor,35.2272086,-80.8430827,35.23,-80.84
NVDA,Nvidia,37.3541132,-121.955174,37.35,-121.96
NVR,"NVR, Inc.",38.953282,-77.3464516,38.95,-77.35
ORLY,O’Reilly Automotive,37.2081729,-93.2922715,37.21,-93.29
OXY,Occidental Petroleum,29.7589382,-95.3676974,29.76,-95.37
ODFL,Old Dominion,35.8831786,-80.081817,35.88,-80.08
OMC,Omnicom Group,40.7127281,-74.0060152,40.71,-74.01
ON,ON Semiconductor,33.4484367,-112.074141,33.45,-112.07
OKE,Oneok,36.1563122,-95.9927516,36.16,-95.99
ORCL,Oracle Corporation,30.2711286,-97.7436995,30.27,-97.74
OTIS,Otis Worldwide,41.7198216,-72.8320435,41.72,-72.83
PCAR,Paccar,47.6144219,-122.192337,47.61,-122.19
PKG,Packaging Corporation of America,42.2586461,-87.8407055,42.26,-87.84
PLTR,Palantir Technologies,39.7392364,-104.984862,39.74,-104.98
PANW,Palo Alto Networks,37.3541132,-121.955174,37.35,-121.96
PSKY,Paramount Skydance Corporation,34.0536909,-118.242766,34.05,-118.24
PH,Parker Hannifin,41.4996574,-81.6936772,41.5,-81.69
PAYX,Paychex,43.1301133,-77.4759588,43.13,-77.48
PAYC,Paycom,35.4729886,-97.5170536,35.47,-97.52
PYPL,PayPal,37.3361663,-121.890591,37.34,-121.89
PEP,PepsiCo,41.0409305,-73.7145746,41.04,-73.71
PFE,Pfizer,40.7127281,-74.0060152,40.71,-74.01
PCG,PG&E Corporation,37.8044557,-122.271356,37.8,-122.27
PM,Philip Morris International,40.7127281,-74.0060152,40.71,-74.01
PSX,Phillips 66,29.7589382,-95.3676974,29.76,-95.37
PNW,Pinnacle West Capital,33.4484367,-112.074141,33.45,-112.07
PNC,PNC Financial Services,40.4416941,-79.9900861,40.44,-79.99
POOL,Pool Corporation,30.4753525,-90.1010474,30.48,-90.1
PPG,PPG Industries,40.4416941,-79.9900861,40.44,-79.99
PPL,PPL Corporation,40.6022552,-75.4716115,40.6,-75.47
PFG,Principal Financial Group,41.5868654,-93.6249494,41.59,-93.62
PG,Procter & Gamble,39.1014537,-84.5124602,39.1,-84.51
PGR,Progressive Corporation,41.5595437,-81.4439274,41.56,-81.44
PLD,Prologis,37.7932754,-122.3963589,37.79,-122.4
PRU,Prudential Financial,40.735657,-74.1723667,40.74,-74.17
PEG,Public Service Enterprise Group,40.735657,-74.1723667,40.74,-74.17
PTC,PTC Inc.,42.3554334,-71.060511,42.36,-71.06
PSA,Public Storage,34.1469416,-118.2478471,34.15,-118.25
PHM,PulteGroup,33.7544657,-84.3898151,33.75,-84.39
PWR,Quanta Services,29.7589382,-95.3676974,29.76,-95.37
QCOM,Qualcomm,32.7174202,-117.162772,32.72,-117.16
DGX,Quest Diagnostics,40.7899291,-74.0566735,40.79,-74.06
RL,Ralph Lauren Corporation,40.7127281,-74.0060152,40.71,-74.01
RJF,Raymond James Financial,27.7712264,-82.6340259,27.77,-82.63
RTX,RTX Corporation,42.3762385,-71.2355644,42.38,-71.24
O,Realty Income,32.7174202,-117.162772,32.72,-117.16
REG,Regency Centers,30.3321838,-81.655651,30.33,-81.66
REGN,Regeneron Pharmaceuticals,41.0762077,-73.8587461,41.08,-73.86
RF,Regions Financial Corporation,33.5206824,-86.8024326,33.52,-86.8
RSG,Republic Services,33.4484367,-112.074141,33.45,-112.07
RMD,ResMed,32.7174202,-117.162772,32.72,-117.16
RVTY,Revvity,42.3762385,-71.2355644,42.38,-71.24
ROK,Rockwell Automation,43.0386475,-87.9090751,43.04,-87.91
ROL,"Rollins, Inc.",33.7544657,-84.3898151,33.75,-84.39
ROP,Roper Technologies,27.3365805,-82.5308545,27.34,-82.53
ROST,Ross Stores,37.7021521,-121.9357918,37.7,-121.94
