ticker,firm,county_fips,county_name,state,lat,lon
GEV,GE Vernova,1019,Clinton,Kentucky,42.3656347,-71.1040018
GEN,Gen Digital,2016,Lamoure,North Dakota,33.4255117,-111.940016
GNRC,Generac,1077,Metcalfe,Kentucky,43.0622536,-88.3123889
GD,General Dynamics,1019,Clinton,Kentucky,38.882334,-77.1710914
GIS,General Mills,1077,Metcalfe,Kentucky,44.9861176,-93.3784618
GM,General Motors,1071,McCracken,Kentucky,42.3315509,-83.0466403
GPC,Genuine Parts Company,1029,Franklin,Kentucky,33.7544657,-84.3898151
GILD,Gilead Sciences,2016,Lamoure,North Dakota,37.5600336,-122.2688522
GPN,Global Payments,1029,Franklin,Kentucky,33.7544657,-84.3898151
GL,Globe Life,1023,Edmonson,Kentucky,33.1976496,-96.6154471
GDDY,GoDaddy,2016,Lamoure,North Dakota,33.4255117,-111.940016
GS,Goldman Sachs,1019,Clinton,Kentucky,40.7127281,-74.0060152
HAL,Halliburton,1097,Scott,Kentucky,29.7589382,-95.3676974
HIG,Hartford (The),1019,Clinton,Kentucky,41.764582,-72.6908547
HAS,Hasbro,1019,Clinton,Kentucky,41.8789531,-71.3821203
HCA,HCA Healthcare,1083,Nicholas,Kentucky,36.1622767,-86.7742984
DOC,Healthpeak Properties,2016,Lamoure,North Dakota,39.7392364,-104.984862
HSIC,Henry Schein,1019,Clinton,Kentucky,40.7835914,-73.4075575
HSY,Hershey Company (The),1019,Clinton,Kentucky,40.2850285,-76.6534662
HPE,Hewlett Packard Enterprise,1097,Scott,Kentucky,29.7589382,-95.3676974
HLT,Hilton Worldwide,1019,Clinton,Kentucky,38.9191272,-77.2229636
HOLX,Hologic,1019,Clinton,Kentucky,42.3468589,-71.5525188
HD,Home Depot (The),1029,Franklin,Kentucky,33.7544657,-84.3898151
HON,Honeywell,1019,Clinton,Kentucky,35.2272086,-80.8430827
HRL,Hormel Foods,1077,Metcalfe,Kentucky,43.6679992,-92.9746498
HST,Host Hotels & Resorts,1019,Clinton,Kentucky,38.9812726,-77.1233587
HWM,Howmet Aerospace,1071,McCracken,Kentucky,40.4416941,-79.9900861
HPQ,HP Inc.,2016,Lamoure,North Dakota,37.4443293,-122.1598465
HUBB,Hubbell Incorporated,1019,Clinton,Kentucky,41.3546999,-73.1383092
HUM,Humana,1071,McCracken,Kentucky,38.2542376,-85.759407
HBAN,Huntington Bancshares,1071,McCracken,Kentucky,39.9622601,-83.0007065
HII,Huntington Ingalls Industries,1019,Clinton,Kentucky,36.9775016,-76.42977
IBM,IBM,1019,Clinton,Kentucky,41.132973,-73.7126064
IEX,IDEX Corporation,1077,Metcalfe,Kentucky,42.2586461,-87.8407055
IDXX,Idexx Laboratories,1019,Clinton,Kentucky,43.6763036,-70.3663874
ITW,Illinois Tool Works,1077,Metcalfe,Kentucky,42.0700662,-87.8114044
INCY,Incyte,1019,Clinton,Kentucky,39.7459468,-75.546589
IR,Ingersoll Rand,1019,Clinton,Kentucky,35.7902384,-80.2115053
PODD,Insulet Corporation,1019,Clinton,Kentucky,42.4850931,-71.43284
INTC,Intel,2016,Lamoure,North Dakota,37.3541132,-121.955174
ICE,Intercontinental Exchange,1029,Franklin,Kentucky,33.7544657,-84.3898151
IFF,International Flavors & Fragrances,1019,Clinton,Kentucky,40.7127281,-74.0060152
IP,International Paper,1033,Grant,Kentucky,35.1460249,-90.0517638
IPG,Interpublic Group of Companies (The),1019,Clinton,Kentucky,40.7127281,-74.0060152
INTU,Intuit,2016,Lamoure,North Dakota,37.3893889,-122.0832101
ISRG,Intuitive Surgical,2016,Lamoure,North Dakota,37.3688301,-122.036349
IVZ,Invesco,1029,Franklin,Kentucky,33.7544657,-84.3898151
INVH,Invitation Homes,1023,Edmonson,Kentucky,32.7762719,-96.7968559
IQV,IQVIA,1019,Clinton,Kentucky,35.996653,-78.9018053
IRM,Iron Mountain,1019,Clinton,Kentucky,42.3554334,-71.060511
JBHT,J.B. Hunt,1033,Grant,Kentucky,36.2553543,-94.1307587
JBL,Jabil,1069,Martin,Kentucky,27.7712264,-82.6340259
JKHY,Jack Henry & Associates,1033,Grant,Kentucky,36.9289518,-93.9277149
J,Jacobs Solutions,1023,Edmonson,Kentucky,32.7762719,-96.7968559
JNJ,Johnson & Johnson,1019,Clinton,Kentucky,40.4951365,-74.4439254
JPM,JPMorgan Chase,1019,Clinton,Kentucky,40.7127281,-74.0060152
K,Kellanova,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
KVUE,Kenvue,1019,Clinton,Kentucky,40.4234145,-74.7077882
KDP,Keurig Dr Pepper,1019,Clinton,Kentucky,42.5048167,-71.1956111
KEY,KeyCorp,1071,McCracken,Kentucky,41.4996574,-81.6936772
KEYS,Keysight Technologies,2016,Lamoure,North Dakota,38.4404925,-122.7141049
KMB,Kimberly-Clark,1023,Edmonson,Kentucky,32.8295183,-96.9442177
KIM,Kimco Realty,1019,Clinton,Kentucky,40.78743,-73.5434608
KMI,Kinder Morgan,1097,Scott,Kentucky,29.7589382,-95.3676974
KKR,KKR & Co.,1019,Clinton,Kentucky,40.7127281,-74.0060152
KLAC,KLA Corporation,2016,Lamoure,North Dakota,37.4332273,-121.8989248
KHC,Kraft Heinz,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
